,trait_1,trait_2,trait_3
snp22569,-0.00492001440499824,0.000249637079673999,0
snp16126,-0.00405058003273383,-0.00278092135548258,0
snp11379,0.00497785225421507,-0.000138475378961263,0
snp10627,-0.0219018849144252,0.00261562237082073,0
snp15218,-0.0075989229317454,0.000515120121091684,0
snp00333,0.00905529361311695,0.00224773871896151,0
snp20969,0.0166774850434121,-0.00462592019511596,0
snp31521,-0.00310734122011333,0.000191285153747813,0
snp05711,0.0167048296459957,0.000238373665050468,0
snp22055,0.00192685497197799,0.0000927813566084538,0
snp26344,0.00734316241638082,0.00333015963753966,0
snp21720,0.0227602935315372,0.000243278268843165,0
snp31493,0.0189674232657795,0.00195563875838254,0
snp24192,-0.00718849716292323,0.000332267448939586,0
snp29154,0.0284419867628506,-0.00402351720431643,0
snp04690,0.00166085213007752,0.00211592649985666,0
snp34075,-0.0202358145712733,0.00211744011069811,0
snp13252,0.0172673758306343,0.000441275950403359,0
snp25376,-0.00186053691621049,-0.00482439667944036,0
snp14145,-0.0248681116143483,0.00244974926531366,0
snp10956,-0.0213602528522662,0.00163177152401026,0
snp16780,-0.00318312042194372,0.000348737654937417,0
snp05402,0.00125641047252071,0.000918540148184339,0
snp09955,-0.0193647786287095,-0.000910393721902085,0
snp12661,-0.00315114464367605,-0.000477080170922179,0
snp33762,-0.0125934691931529,-0.00177776614150495,0
snp05825,0.0316979903709507,0.000948759219749768,0
snp10709,0.023644271374182,-0.00160928879870244,0
snp02417,-0.00223936568922747,0.00265719563459413,0
snp17808,-0.00731284590566828,0.00061032108993263,0
snp08284,-0.0315639671883582,0.00136725077840962,0
snp03720,0.00761199041577857,-0.00675246026754211,0
snp01026,-0.0193651339637653,0.00659385853847924,0
snp01382,0.00196691348313143,-0.00148893329676068,0
snp29380,0.00696626699300061,-0.00515611041325036,0
snp07035,-0.0172456130201861,-0.00128569551498063,0
snp31465,-0.0109716979748536,-0.00124441795452856,0
snp24126,0.0127874943885069,-0.00130743547624072,0
snp13691,0.00254429601469306,-0.00295523412448148,0
snp05215,0.00680435499259886,-0.000261852517598165,0
snp06052,0.00920860640861089,-0.0000768766144512708,0
snp01530,0.0106006958281714,0.00382987371707283,0
snp31398,0.00191900847061542,-0.000456370689298612,0
snp30174,0.0130799522651173,-0.00242266775745971,0
snp20517,0.00735648294744792,-0.000772301279746935,0
snp04601,-0.0246485630178925,-0.000548390303856738,0
snp32668,0.0176743219583794,0.000674947515490079,0
snp07803,-0.0423138859198735,0.00121298598625799,0
snp30093,0.0210132324682415,-0.00265878876044853,0
snp12635,0.00562252471950738,-0.00149558590990295,0
snp22584,-0.00144502046740344,0.000129990291820958,0
snp22422,0.0150304270986822,0.000815258335990482,0
snp19334,0.0217917016946985,-0.00393580477405468,0
snp16822,0.0230520402446398,-0.000302119916211555,0
snp20936,0.0146737359300366,-0.00334739366684807,0
snp22824,-0.000299638863297072,0.00253368569662258,0
snp34187,0.0115244796012394,-0.00533303941824144,0
snp04020,-0.018966323681341,0.00187693755236514,0
snp32587,0.052527581826855,-0.00078198495666532,0
snp02156,-0.00661366299992903,0.000594691804409133,0
snp30606,0.00263187630496718,0.00360602223263504,0
snp21053,-0.01625668006494,0.00179625899877011,0
snp08111,0.0316162021909571,-0.00148538668481632,0
snp25271,-0.00464656595423082,0.00469776660216367,0
snp18050,-0.00496369802406063,-0.00145540072155643,0
snp17889,0.00349683777979919,0.000979523708314612,0
snp17126,0.0378344183892314,0.00444198408549546,0
snp01028,-0.0145055305954485,0.0062643302198365,0
snp28807,0.0270063381180258,-0.00427131046336228,0
snp25081,-0.00271652876073325,0.00288492020562401,0
snp27067,-0.020848430771353,-0.00164628272668131,0
snp30554,-0.0383681035441127,-0.000113044248615652,0
snp30686,-0.0104578088694197,-0.000305252447455663,0
snp03832,0.00887757378808915,-0.00247716051171634,0
snp08349,0.0404430622800308,0.00076420469782452,0
snp28612,-0.0250567475009582,0.00153830336166652,0
snp28568,-0.00151723195136563,0.00293145874584689,0
snp32062,0.00660995719805018,0.00245173031614228,0
snp32752,0.00572394390329362,-0.000183799819452706,0
snp02340,-0.0209423543072678,-0.000810400467197305,0
snp33476,0.0065950774462368,-0.00355532988389696,0
snp28814,0.026267700159874,-0.00465533715325822,0
snp32070,0.00660995719805018,0.00245173031614228,0
snp03799,0.0173761529062209,0.000588663917969443,0
snp10311,0.037001365958281,0.00053996211161696,0
snp30448,0.0385093883460053,0.000162667441555632,0
snp20985,-0.0208779330734853,0.00102721715088887,0
snp02606,-0.0259928077569487,-0.00157241550253809,0
snp03705,-0.00137510372365265,0.00667405222075025,0
snp08255,-0.00179377341673076,0.00144379663043935,0
snp12108,-0.0152168597700961,-0.00223361554528229,0
snp01214,-0.0175473721665875,0.000405447820201643,0
snp02845,-0.016548200558807,0.000813198380160369,0
snp27876,-0.020521244954371,0.00201059786957798,0
snp16499,-0.00887963737086321,-0.000876235155250444,0
snp26258,-0.0171151628779753,0.000103019932950034,0
snp34406,0.0180225837049373,0.00707162287299237,0
snp13907,-0.00500809665466654,0.00172008384707076,0
snp04126,0.00608972810659073,-0.00253482692484025,0
snp13356,0.000890955003095942,0.00438022243656745,0
snp25389,0.0248264726746763,0.00968784393784963,0
snp01676,0.0189712772040358,0.000890157432922558,0
snp03021,0.0332779077325095,-0.0038160946906064,0
snp21502,-0.000639858848808184,0.00457623900616697,0
snp22030,-0.00264149485972022,0.000217899069246714,0
snp24735,0.00684253068526403,-0.006031313327819,0
snp23023,0.00636304096641317,0.0000947785545161925,0
snp13941,-0.0271826759461018,-0.000137139651154563,0
snp16046,-0.0132457707119221,-0.00153519241371223,0
snp15763,0.00763307751751073,-0.00424466009572514,0
snp22341,0.00684194048547557,0.00137983797133963,0
snp04564,-0.0229417728213113,-0.000761902492865489,0
snp28112,0.000963410676862734,0.00149257777104826,0
snp29784,-0.00772347637037605,-0.00217622112651963,0
snp00267,-0.0174590226812405,0.00282541584699495,0
snp15103,-0.00797415917503765,-0.00239136610837567,0
snp07581,0.0595472193334852,0.000117135314994916,0
snp07001,-0.000877323644725125,0.00760529289804427,0
snp32086,0.00789574855998003,0.0021739548358135,0
snp04760,0.0126080731264767,0.000642202330747973,0
snp07045,-0.0141682581489788,-0.00130947009222209,0
snp19227,0.0140755647892447,-0.000150158201558935,0
snp09177,-0.00693383702380741,0.000620422219984832,0
snp07171,-0.0310376839773064,-0.00385245266583615,0
snp09997,-0.0157529412649098,-0.00459607011517124,0
snp25158,-0.0312026426172266,-0.00064990412548332,0
snp19389,-0.0150837505948433,-0.000848747231116064,0
snp27421,-0.0212193553888575,0.0000628861112720677,0
snp28836,0.0226700420935578,-0.000108848040490485,0
snp20901,-0.0167093726624454,0.0012406775993693,0
snp22133,-0.000512725052256909,0.00216809048202638,0
snp30094,-0.0210132324682415,0.00265878876044853,0
snp33923,0.0108319877809831,-0.00548657613123669,0
snp34473,0.0238377593217534,0.00326297590530497,0
snp33880,0.0180876119500833,-0.00364066872922955,0
snp26225,0.00596882419521829,0.000590597897228999,0
snp31992,-0.0109952734897429,0.000803308754974369,0
snp29540,-0.016573173889587,0.000924193969439716,0
snp23783,-0.0342319055782672,0.0033573434129352,0
snp00910,0.0299004437307406,0.00279655873060457,0
snp09880,0.00029891304075091,0.000366331239606339,0
snp04575,-0.033498452305699,0.000858825317225415,0
snp10061,-0.00866076950282399,0.00186261079325916,0
snp07939,0.00420568012372416,-0.00278243686664696,0
snp17034,-0.0168182402099482,-0.00202110253213534,0
snp19586,0.00687850906633421,0.00151808960365945,0
snp04223,-0.00180637915596176,0.000441609570778008,0
snp25812,-0.00653544484378053,0.00074980542376186,0
snp06591,0.00268637676494433,-0.00422655257264435,0
snp07211,0.0246256782741251,-0.000479124019191786,0
snp07043,-0.0141682581489788,-0.00130947009222209,0
snp20768,0.0257834413500153,-0.00136280734494532,0
snp13051,-0.00677250124387908,0.0016213870505889,0
snp08295,0.0310556476269407,0.00166496034332236,0
snp18579,0.00745678453828199,-0.00133148611432458,0
snp09357,-0.00853500627396499,0.000429064292522501,0
snp14629,0.0409088803230932,-0.00176688767756174,0
snp03888,0.0019151821163788,-0.0022847098057892,0
snp07403,0.0101150332235447,-0.00534907797166199,0
snp18596,0.026426452286715,0.00184040911638848,0
snp29098,0.00947906646724466,-0.00132592885624888,0
snp23404,0.0114227371219642,0.000781669274689776,0
snp22513,-0.00560273660336668,-0.00346921380198709,0
snp11357,-0.00925438098167808,-0.0012531913141033,0
snp07120,0.0104468094600735,0.00347536424487912,0
snp10325,0.0495219573236993,-0.00404853249844714,0
snp02090,0.00286280078476454,-0.000535315186399216,0
snp21047,0.0216295666586338,-0.00173975598410722,0
snp08160,-0.0151242152147892,0.00318482168387328,0
snp09954,0.0193647786287095,0.000910393721902085,0
snp26915,-0.00173178235194149,0.00420459795007003,0
snp02963,0.0221072775915904,-0.00136297883987263,0
snp03034,-0.0104446667827896,0.0015709910660338,0
snp34383,0.0287982650875658,0.00267028223474199,0
snp02051,-0.0089151756456948,0.00441379271347477,0
snp30203,-0.0137712914187002,0.00318217422713486,0
snp31230,0.0260760668074967,0.00395355296631513,0
snp11028,0.000829976000442627,0.00104887585856662,0
snp28667,0.00813694744903655,0.000712920888866875,0
snp29020,-0.00579251794132343,0.00173259484141776,0
snp21887,-0.0153730309129122,-0.000267900885159174,0
snp23354,0.00318830932035655,0.000852862572414068,0
snp20981,0.0208779330734853,-0.00102721715088887,0
snp28882,0.0124019720385153,-0.000203797716571482,0
snp23983,-0.0225508677031698,0.00148609322228896,0
snp07122,0.0194737260131162,0.00300037664809445,0
snp32291,-0.0260795761457618,0.00362758102216106,0
snp31341,-0.0160698492947182,-0.00238420455924,0
snp08722,-0.00382456355782365,0.000733119475763054,0
snp02275,0.00716979344205094,-0.00272408009078713,0
snp17857,-0.00106747814176204,-0.0000684170719988016,0
snp03873,-0.00528886036251767,-0.000173023127479316,0
snp16199,-0.00762392890053589,-0.000194039145578127,0
snp33542,-0.0253248193689559,0.000317371019315269,0
snp09651,-0.0034620262656712,-0.00420716548560184,0
snp24093,-0.0103507099352514,-0.00308352098176006,0
snp04037,0.0107243382974396,0.000334479681236225,0
snp00483,-0.0416487355651007,-0.00123964246464127,0
snp02713,-0.00172355824069273,-0.00396437391609975,0
snp06567,-0.0235048829446932,0.000883237192188705,0
snp32986,0.00984128217543687,0.000277743057894689,0
snp34035,-0.0153867791025381,-0.000256114449296353,0
snp15383,-0.00685331189881542,-0.00121778326532307,0
snp13162,0.0139520010511023,-0.00306527064511358,0
snp20755,0.0338527707754212,-0.00633240228934783,0
snp15026,0.0473876786760795,-0.00430408803567243,0
snp04705,-0.00285087041076208,-0.0042998642806793,0
snp10183,-0.0153142721395242,-0.000748576827841401,0
snp26586,-0.00782444582553883,0.00429106221907764,0
snp07125,0.00444721678888626,-0.00105305476399046,0
snp27595,0.0181937842338675,-0.00139939761888834,0
snp33810,0.011111554083153,0.00241087634774331,0
snp21574,0.00881620321196052,-0.000450629540033356,0
snp20689,0.00132847891191142,-0.000815364313193858,0
snp21439,0.0235510041740863,0.00341352584190823,0
snp08898,0.00784956381528736,-0.000851205112338305,0
snp05062,0.00402597017789039,-0.00183539310116609,0
snp07250,0.00810877319676077,-0.00136198750083946,0
snp04271,-0.0230123090895108,-0.000593779098219939,0
snp10847,0.00861654016693822,0.000412287802155415,0
snp31971,0.0230699462098578,-0.000646796746169965,0
snp22556,-0.00374736286774769,0.000206816298436558,0
snp30967,-0.0108156118492608,-0.00221343106124874,0
snp15518,0.00493427225074278,-0.000582198013143109,0
snp03996,-0.00675117014310978,-0.0029476956725921,0
snp21376,0.0320190085105925,-0.00263612878350819,0
snp27910,-0.000447988888532463,0.00244972851733296,0
snp12066,-0.00252726231181577,0.000655070692786578,0
snp14595,0.0306147316921797,-0.00396021750285563,0
snp28210,0.033217696016513,0.000262650411629421,0
snp13440,-0.0256283415462712,0.00251422630013075,0
snp25160,0.0312026426172266,0.00064990412548332,0
snp26587,0.0030540781903512,-0.00579053232361703,0
snp22859,0.000558383393454851,-0.000167283970495802,0
snp10272,0.02548162257394,-0.000104184949094432,0
snp04122,0.0129142595943158,-0.00132249982116071,0
snp31859,-0.0181408699340751,0.00380668367380652,0
snp02650,-0.0064586846187067,-0.000258016887302979,0
snp12245,0.0173761923093164,-0.000461122058701573,0
snp32990,0.0232260382606173,-0.00389314896091129,0
snp15481,0.0161759056174538,0.00338875833288352,0
snp17613,-0.0175144235359008,0.00207913173959236,0
snp25605,-0.00782850636977238,-0.000773439164826102,0
snp09826,-0.0227664894383646,-0.000854561860235363,0
snp16101,0.00498148524336501,0.00530146882673845,0
snp28369,-0.0107188274411937,0.00229933877490341,0
snp25026,0.0310616845331823,0.00141493725627988,0
snp04471,-0.0127815736892864,0.00234890108296066,0
snp13773,-0.00524720411223117,0.00315088573774784,0
snp00224,0.0168506447093572,-0.0023728710250843,0
snp32260,0.0103058006545795,-0.00609187073848319,0
snp32654,-0.0292609355182919,-0.00288112649244744,0
snp33617,0.0147137103450543,-0.000404702770293824,0
snp12619,0.0228306315597975,-0.00023418851612755,0
snp04146,0.0134523866735388,-0.00127463820812891,0
snp02904,-0.00986659840249696,-0.000276840026587219,0
snp33540,0.0253248193689559,-0.000317371019315269,0
snp26358,-0.00371334514875711,-0.00016619724402529,0
snp17655,0.0327203713440709,-0.00322478479493271,0
snp14006,0.0173449940010643,0.00116498125921005,0
snp09882,-0.00029891304075091,-0.000366331239606339,0
snp15899,0.00849747938397422,-0.00128659452049066,0
snp16203,0.00762392890053589,0.000194039145578127,0
snp30723,-0.0056613314721739,-0.00284001202440072,0
snp11092,-0.0310637670691168,0.000948181096264872,0
snp22811,-0.0150350778046246,0.00202587103725079,0
snp16041,0.0132457707119221,0.00153519241371223,0
snp32768,-0.00912003807220289,-0.0024133382651346,0
snp21007,0.00783036414484211,-0.00272574496508991,0
snp28304,-0.00733047641097596,0.00213755359269106,0
snp05004,0.0233965287952955,0.00389309495868233,0
snp33202,0.0203042690417558,-0.00162221664715966,0
snp28526,-0.00011683574435465,0.00368647838245222,0
snp26503,-0.0109245798579113,-0.00178246075882157,0
snp03407,0.00881814514491598,-0.00264160368341349,0
snp09442,0.0122451891569843,-0.000678924491040761,0
snp23195,-0.0114350648790575,0.00184170634985297,0
snp00604,-0.0155415607644783,-0.00199872715871706,0
snp16177,0.00432805810185552,0.000155461344501147,0
snp00850,-0.0155247639575993,0.000536280195747313,0
snp05024,-0.0327180105037706,-0.00253999928735155,0
snp30889,0.0389794063867529,0.00735561583763678,0
snp21162,-0.0122628769467892,0.00236490931848524,0
snp29476,0.0169067093386874,-0.000662922044402244,0
snp24738,-0.00684253068526403,0.006031313327819,0
snp27621,0.0390319348839031,0.000973033995370852,0
snp17770,-0.00547930309009269,-0.00318141448511528,0
snp03846,0.00797575336995497,-0.00177800677295375,0
snp17086,-0.00648261035711315,0.000678973463245715,0
snp21972,0.0107289429107518,-0.00153141670926112,0
snp16083,0.00602380503251081,0.00396005168760438,0
snp30646,0.000801117060691268,0.000794729644148185,0
snp10447,-0.00443374381469258,0.00106407016319244,0
snp29244,0.0219280017572722,0.00382147687974632,0
snp26145,0.0140801611408329,0.0013424246838257,0
snp12144,0.0295642010681094,-0.00156615314269296,0
snp03030,0.00229052566017347,0.00152732912027781,0
snp22812,-0.0150350778046246,0.00202587103725079,0
snp24280,-0.00937501159952597,0.0013597327897472,0
snp14778,-0.0218292276610859,-0.00187734674289906,0
snp30073,0.0208632260501917,-0.000842066943858932,0
snp31369,0.00458177626951801,-0.00118378150068164,0
snp25961,0.00135500491420937,-0.000863931461500298,0
snp15324,0.0118702143816046,-0.00237027037746792,0
snp22436,0.0134380067928247,0.000268390359900821,0
snp13663,-0.0455741936085394,0.00319986441965893,0
snp25466,0.00256611571676198,0.00301609116509114,0
snp26689,0.0263328546475005,0.00367318620060732,0
snp15151,0.0191851937355721,0.00422955426758974,0
snp09433,-0.019445300708862,0.00117497122794815,0
snp12376,0.0121610968291589,0.00658607412122042,0
snp14220,-0.0138048978017492,0.000717814819641742,0
snp29054,-0.0143151500222781,0.00304232092466748,0
snp03198,0.013430834477222,-0.00294589755129846,0
snp27169,0.0138095132523446,-0.00352765305234695,0
snp10109,0.0293004857485526,0.00301507694404702,0
snp32135,0.0132096579494317,-0.00194330559625486,0
snp16076,0.00165756060505883,-0.0066909062848161,0
snp33113,0.0334683824502481,-0.00124140775082437,0
snp09960,-0.00425253165876764,-0.00139971435497556,0
snp03007,0.0146394619226424,-0.00186124539961338,0
snp27044,-0.0224808332381805,-0.00149416744082971,0
snp25126,0.0462642254445266,-0.00207357123433338,0
snp28101,-0.0238075093571303,-0.00287886148906632,0
snp28818,-0.0240635780050601,0.00462469099965454,0
snp20247,-0.00261665216470765,-0.00288808078700866,0
snp07644,0.0246467554513121,0.000554657114666469,0
snp23711,-0.0174175257460425,-0.000648874568039868,0
snp33899,0.00541203274204082,0.000559230759718301,0
snp11342,0.0159903418149605,0.000795440220322012,0
snp02219,-0.0116283492260061,-0.00186558773160222,0
snp14929,-0.000509358951792759,0.0000108490574562693,0
snp15071,0.0124033507069394,-0.00446445345328873,0
snp29602,-0.00647657623835251,0.0024738675527779,0
snp30491,-0.002791016197003,-0.00166827690057728,0
snp10732,0.00289569694899899,0.00490965171138902,0
snp26356,0.00371334514875711,0.00016619724402529,0
snp16306,0.00836517291874767,0.000328721907224431,0
snp20165,0.00669861537330926,-0.00453852467282194,0
snp30349,-0.0152581070291784,0.0025257283308413,0
snp15223,0.00695808632188281,0.000274479110045842,0
snp33057,0.0189285996832562,0.000364282007315995,0
snp10495,0.00745497148686086,0.00258321022003521,0
snp25760,-0.0159405134498386,0.0015126706085031,0
snp00388,-0.00580833252753347,0.000109652100261778,0
snp10444,-0.00443374381469258,0.00106407016319244,0
snp27596,0.0181937842338675,-0.00139939761888834,0
snp24135,0.00443063488741191,0.00155923750448406,0
snp28329,-0.0159017986554541,0.000760161644989031,0
snp31919,-0.00168378581143979,0.0000692613796276007,0
snp31547,-0.00801449470760881,-0.000394412149068716,0
snp04230,0.0157225136804053,0.00186351925236408,0
snp15279,0.00544925964094149,0.000989010346587457,0
snp22517,0.0335925067501552,0.0030328040921407,0
snp12863,-0.00315791538517607,0.000329841898454355,0
snp20532,0.00735648294744792,-0.000772301279746935,0
snp12905,-0.00238992076389894,-0.00123711428234003,0
snp00856,-0.0151443041973709,0.000830966775868012,0
snp02924,0.00187988768370415,0.0038059122014006,0
snp21478,0.022595057239199,-0.000463421056767415,0
snp11549,-0.000976899378799315,-0.00062020701866738,0
snp23130,0.00301821851868616,-0.0013419164476348,0
snp11942,-0.00929280282351385,0.00102283845472766,0
snp00493,-0.00254182407557085,-0.00341245740876882,0
snp12137,-0.0341731214884794,0.00100038822333831,0
snp14130,-0.0186281272215572,0.00346957587494284,0
snp05045,-0.0061914035526373,0.00172069174762574,0
snp21406,0.0303826897321182,0.00102800090140909,0
snp11157,0.0138858790686252,0.000672789589744308,0
snp31812,0.0118479620592273,0.00120019967272553,0
snp04613,0.0118240678121337,-0.000215650200733764,0
snp00793,-0.0146428167872457,-0.00241906765776906,0
snp31518,-0.00310734122011333,0.000191285153747813,0
snp29065,-0.0131018195257727,0.000861571048476457,0
snp24965,0.0259867073027709,0.000653699845942419,0
snp25914,0.00030733102338541,0.00120825763290891,0
snp01462,-0.0122776250742491,0.00226622396350669,0
snp28183,-0.00707137242942472,0.000796218844602439,0
snp32818,0.00048067695336493,0.00320710725709907,0
snp15933,-0.0100303284967695,0.00247522851497672,0
snp26537,-0.00356547398759411,-0.00635701409921898,0
snp03862,-0.00155744605983411,-0.00153443485928752,0
snp21419,0.025929464665647,0.00178408356069498,0
snp13242,0.00289847284812424,0.00100165118883543,0
snp16347,-0.00799503579513736,0.00146058437330599,0
snp28253,-0.0117756513866788,0.0032978584878493,0
snp11460,0.00497703188799084,-0.000854916403318767,0
snp15943,-0.0202349380671173,0.00411874868999842,0
snp08198,0.00878119340672806,0.00436951360766474,0
snp28643,0.0109144276054839,-0.000208927666951707,0
snp30368,-0.00333777705719145,0.000627951228959692,0
snp28743,-0.0198707654702931,0.000590499781291441,0
snp00432,0.00639227782212217,0.000058561364346525,0
snp11829,0.015210208590062,0.00584398418106267,0
snp20558,0.00208728174996279,0.000768034022474372,0
snp04903,-0.0140818806113989,-0.00127443135995857,0
snp33451,-0.00744219349137548,0.00358602016177136,0
snp03936,0.00824872844887702,-0.000111090206964968,0
snp08824,0.00361246102281313,0.000169126918622971,0
snp31639,0.0353081865704341,-0.000568964231227962,0
snp26355,-0.00371334514875711,-0.00016619724402529,0
snp14153,0.0272181621004395,-0.0019167788835524,0
snp25298,0.0160623477555353,0.00132906330835173,0
snp08210,0.0066568206516396,0.00132608483883394,0
snp00287,0.0136746792256721,0.000141612018219356,0
snp00039,-0.0125022476916877,-0.00197674526546929,0
snp08149,0.0317039048942448,-0.0000949018651329533,0
snp30472,0.0407380318851513,-0.00179987802411558,0
snp26508,0.0109245798579113,0.00178246075882157,0
snp02923,-0.00187988768370415,-0.0038059122014006,0
snp15676,-0.0146427206721056,-0.0046924895294425,0
snp20902,0.0167093726624454,-0.0012406775993693,0
snp23658,0.0225619556161294,-0.00016578354007747,0
snp29988,-0.010211443473298,-0.00158448457068868,0
snp06067,0.00160089833482172,-0.0000497610947945056,0
snp29085,-0.00651854281709774,0.00320361660566303,0
snp30141,-0.0320694671861737,0.00106099151535165,0
snp16188,0.0186197827270084,-0.00124259467674057,0
snp11000,0.00549689590315289,-0.00089113403283328,0
snp10321,0.0462638219827819,-0.00296335672578134,0
snp04276,-0.0260183554192755,-0.0000755490009079,0
snp17838,0.00364094000616667,-0.00218920644982695,0
snp11950,-0.0123080266195755,0.000647315171276868,0
snp17520,-0.0137469108915139,-0.000164226830421363,0
snp30292,-0.0361813468044831,0.00403975604502647,0
snp06645,0.0304877042050884,0.00488711337181085,0
snp28465,-0.0259222416820457,0.00282573232219159,0
snp25971,-0.0106711461972135,-0.00108511282271498,0
snp08916,-0.0277014471923685,-0.00510000251893581,0
snp26173,0.0124488699008906,0.0016267382372587,0
snp16008,0.0118183863588737,-0.00117724330769044,0
snp10166,0.0106673829197862,-0.00381050150391354,0
snp25785,-0.00679382017329143,-0.00290327616309909,0
snp07251,0.00401571082373571,-0.00118805206412959,0
snp19160,0.00289351327619434,0.00302737536578497,0
snp15739,-0.00832444978760226,0.00369429552410639,0
snp10393,-0.00690617127783403,-0.000681030511496373,0
snp00768,0.00565897761876706,0.00311564068495383,0
snp10528,-0.0154771564711275,-0.00126045869690101,0
snp20406,0.017965342507489,-0.000735519758907933,0
snp22843,0.00290389192827163,0.000412434902277723,0
snp21710,-0.0166925630916761,-0.000691186510019203,0
snp15695,0.010840681468268,-0.000836900777631909,0
snp32279,-0.0105280206962585,0.00352017387693923,0
snp20786,-0.0208299243796626,0.000573260888644362,0
snp34350,0.0279302790251218,0.000989780637149569,0
snp32879,-0.0207055004688693,-0.0013321040633368,0
snp31848,0.0161666361571147,-0.00104076044916337,0
snp15417,0.00191757938613952,0.000937992371561624,0
snp12127,-0.0296451907872324,-0.00238275708057955,0
snp27061,0.020848430771353,0.00164628272668131,0
snp12578,-0.00794947033886925,-0.00274193250976099,0
snp23030,0.00636304096641317,0.0000947785545161925,0
snp26338,0.00464488090112201,-0.00243583596969809,0
snp28883,0.0124019720385153,-0.000203797716571482,0
snp16727,-0.0133902573614025,0.000762351622805402,0
snp03828,0.00404306082179319,-0.00232485319901386,0
snp16165,-0.00915814251345904,0.00411735879996004,0
snp23529,0.00936193246913328,0.0015953319692556,0
snp23993,0.00115043515660287,0.00212976508265599,0
snp21733,-0.00693080517364436,0.000790740618312723,0
snp11481,0.0206838559946907,-0.000646386858435802,0
snp22352,0.00591573187939781,0.0021544469422778,0
snp31354,-0.0112676709411525,0.00114562913079895,0
snp20324,0.0116951370334765,0.00108350726175338,0
snp03961,0.00424485331320859,-0.000432084894863956,0
snp13278,0.00668713951747078,-0.000963546778045314,0
snp32399,0.00100257765538062,-0.00180134938315118,0
snp22935,0.00900900561800504,-0.00127154359763833,0
snp15758,0.00763307751751073,-0.00424466009572514,0
snp23920,-0.0305968031458465,0.00213051537951629,0
snp14531,-0.00543998912311005,0.00152492056588052,0
snp06093,0.0470377515440346,-0.00321319152367512,0
snp30514,-0.0422272952490351,0.000519912462981522,0
snp16184,0.0155194356199301,0.00188169353663712,0
snp30825,0.0259799549604681,0.00458678466519069,0
snp26051,-0.0323089474498592,-0.00219323191501781,0
snp28577,0.00138193122910498,0.00116830246146853,0
snp21385,-0.0198419447547004,-0.000323241886430448,0
snp19652,0.0165467350156282,-0.000865114284274546,0
snp09962,0.0196653415823298,0.00144450410357888,0
snp12609,0.00467047796946672,-0.000749544480702496,0
snp16943,-0.00545187385110713,0.00245584949271838,0
snp16330,0.00444509565632977,-0.00218017844979487,0
snp04815,0.0122461893933809,-0.00195181404169491,0
snp26289,0.0201112787996562,0.00111292493897702,0
snp30387,0.00820932855868865,-0.000342718401758628,0
snp29108,-0.0100962759194378,0.00142159610030705,0
snp07069,-0.00146103315073819,0.00191219325076906,0
